A,B,C,D,E,F,G
1,56,1,2,1,1,2
2,69,0,2,1,1,2
3,46,0,2,1,1,2
4,32,1,2,1,1,2
5,60,0,1,0,0,1
6,25,0,2,1,1,4
7,78,0,1,0,0,0
8,38,0,0,2,1,0
9,56,0,2,1,1,4
10,75,0,0,2,1,0
11,36,0,2,1,1,2
12,40,0,0,2,1,0
13,28,0,0,2,1,0
14,28,1,1,0,0,1
15,41,1,2,1,1,2
16,70,1,0,2,1,3
17,53,1,0,2,1,3
18,57,1,2,1,1,2
19,41,1,1,0,0,0
20,20,1,0,2,1,0
21,39,1,0,2,1,3
22,70,1,2,1,1,2
23,19,0,1,0,0,0
24,41,0,0,2,1,3
25,61,0,2,1,1,2
26,47,0,2,1,1,2
27,55,0,0,2,1,0
28,19,0,0,2,1,0
29,77,0,0,2,1,3
30,38,1,1,0,0,0
31,50,1,2,1,1,4
32,29,1,0,2,1,3
33,75,0,1,0,0,0
34,39,0,1,0,0,0
35,78,0,0,2,1,0
36,61,1,2,1,1,4
37,42,0,1,0,0,1
38,66,1,0,2,1,3
39,44,0,0,2,1,0
40,76,0,2,1,1,2
41,59,0,0,2,1,0
42,45,1,1,0,0,0
43,77,1,1,0,0,0
44,33,1,0,2,1,3
45,32,0,0,2,1,0
46,79,1,0,2,1,3
47,79,1,2,1,1,2
48,64,1,0,2,1,3
49,79,0,0,2,1,0
50,68,1,0,2,1,3
51,61,0,0,2,1,3
52,72,0,0,2,1,0
53,69,1,2,1,1,2
54,74,0,2,1,1,4
55,20,0,0,2,1,3
56,54,1,0,2,1,0
57,68,0,1,0,0,0
58,24,0,2,1,1,2
59,38,0,2,1,1,4
60,26,0,2,1,1,2
61,56,0,0,2,1,0
62,35,1,1,0,0,0
63,21,1,1,0,0,0
64,42,1,2,1,1,4
65,77,1,1,0,0,0
66,31,1,2,1,1,4
67,67,0,0,2,1,3
68,75,1,0,2,1,0
69,26,1,2,1,1,2
70,43,1,2,1,1,2
71,70,0,2,1,1,4
72,19,1,0,2,1,3
73,37,0,1,0,0,0
74,45,1,2,1,1,4
75,64,1,0,2,1,3
76,77,1,2,1,1,4
77,24,1,0,2,1,0
78,61,0,2,1,1,4
79,78,1,2,1,1,2
80,25,0,0,2,1,0
81,64,1,0,2,1,0
82,52,1,0,2,1,0
83,31,1,1,0,0,0
84,34,1,2,1,1,2
85,53,0,2,1,1,4
86,67,1,0,2,1,0
87,57,1,1,0,0,0
88,21,1,0,2,1,3
89,19,1,2,1,1,4
90,79,0,1,0,0,0
91,23,0,0,2,1,3
92,71,1,0,2,1,3
93,59,0,0,2,1,0
94,21,1,2,1,1,4
95,71,0,2,1,1,4
96,46,1,2,1,1,2
97,35,1,0,2,1,0
98,43,1,1,0,0,1
99,61,0,2,1,1,4
100,51,0,1,0,0,0
