A,B,C,D,E,F,G,H
1,56,1,2,1,1,2,1
2,69,0,2,1,1,2,1
3,46,0,2,1,1,2,1
4,32,1,2,1,1,2,1
5,60,0,1,0,0,1,0
6,25,0,2,1,1,4,1
7,78,0,1,0,0,0,0
8,38,0,0,2,1,0,1
9,56,0,2,1,1,4,1
10,75,0,0,2,1,0,1
11,36,0,2,1,1,2,1
12,40,0,0,2,1,0,1
13,28,0,0,2,1,0,1
14,28,1,1,0,0,1,0
15,41,1,2,1,1,2,1
16,70,1,0,2,1,3,1
17,53,1,0,2,1,3,1
18,57,1,2,1,1,2,1
19,41,1,1,0,0,0,0
20,20,1,0,2,1,0,1
21,39,1,0,2,1,3,1
22,70,1,2,1,1,2,1
23,19,0,1,0,0,0,0
24,41,0,0,2,1,3,1
25,61,0,2,1,1,2,1
26,47,0,2,1,1,2,1
27,55,0,0,2,1,0,1
28,19,0,0,2,1,0,1
29,77,0,0,2,1,3,1
30,38,1,1,0,0,0,0
31,50,1,2,1,1,4,1
32,29,1,0,2,1,3,1
33,75,0,1,0,0,0,0
34,39,0,1,0,0,0,0
35,78,0,0,2,1,0,1
36,61,1,2,1,1,4,1
37,42,0,1,0,0,1,0
38,66,1,0,2,1,3,1
39,44,0,0,2,1,0,1
40,76,0,2,1,1,2,1
41,59,0,0,2,1,0,1
42,45,1,1,0,0,0,0
43,77,1,1,0,0,0,0
44,33,1,0,2,1,3,1
45,32,0,0,2,1,0,1
46,79,1,0,2,1,3,1
47,79,1,2,1,1,2,1
48,64,1,0,2,1,3,1
49,79,0,0,2,1,0,1
50,68,1,0,2,1,3,1
51,61,0,0,2,1,3,1
52,72,0,0,2,1,0,1
53,69,1,2,1,1,2,1
54,74,0,2,1,1,4,1
55,20,0,0,2,1,3,1
56,54,1,0,2,1,0,1
57,68,0,1,0,0,0,0
58,24,0,2,1,1,2,1
59,38,0,2,1,1,4,1
60,26,0,2,1,1,2,1
61,56,0,0,2,1,0,1
62,35,1,1,0,0,0,0
63,21,1,1,0,0,0,0
64,42,1,2,1,1,4,1
65,77,1,1,0,0,0,0
66,31,1,2,1,1,4,1
67,67,0,0,2,1,3,1
68,75,1,0,2,1,0,1
69,26,1,2,1,1,2,1
70,43,1,2,1,1,2,1
71,70,0,2,1,1,4,1
72,19,1,0,2,1,3,1
73,37,0,1,0,0,0,0
74,45,1,2,1,1,4,1
75,64,1,0,2,1,3,1
76,77,1,2,1,1,4,1
77,24,1,0,2,1,0,1
78,61,0,2,1,1,4,1
79,78,1,2,1,1,2,1
80,25,0,0,2,1,0,1
81,64,1,0,2,1,0,1
82,52,1,0,2,1,0,1
83,31,1,1,0,0,0,0
84,34,1,2,1,1,2,1
85,53,0,2,1,1,4,1
86,67,1,0,2,1,0,1
87,57,1,1,0,0,0,0
88,21,1,0,2,1,3,1
89,19,1,2,1,1,4,1
90,79,0,1,0,0,0,0
91,23,0,0,2,1,3,1
92,71,1,0,2,1,3,1
93,59,0,0,2,1,0,1
94,21,1,2,1,1,4,1
95,71,0,2,1,1,4,1
96,46,1,2,1,1,2,1
97,35,1,0,2,1,0,1
98,43,1,1,0,0,1,0
99,61,0,2,1,1,4,1
100,51,0,1,0,0,0,0
